"","id","host_id","host_name","latitude","longitude","n_price","n_ln_price","n_bathrooms","n_distance_from_center_km","n_host_since_days","n_minimum_nights","n_maximum_nights","n_bedrooms","n_beds","n_accommodates","n_host_listings_count","n_host_listings_count_entire_homes","n_reviews","n_review_scores_rating","p_host_response_rate","p_host_acceptance_rate","f_bathrooms","f_property_type","f_neighbourhood_group_cleansed","d_host_is_superhost","d_host_has_profile_pic","d_host_identity_verified","d_instant_bookable","d_has_availability","d_wifi","d_long_term_stays_allowed","d_essentials","d_kitchen","d_washer","d_air_conditioning","d_tv","d_shampoo","d_elevator","d_cooking_basics","d_refrigerator","d_dedicated_workspace","d_microwave","d_breakfast","d_children_friendly","d_closet","d_garden","d_balcony","d_gym","d_free_parking","d_smoking_allowed","d_private_entrance","d_pool","d_lockbox","d_indoor_fireplace","d_pets_allowed","d_luggage_dropoff_allowed","d_smart_lock","flg_n_bathrooms","flg_n_bedrooms","flg_n_beds","n_ln_beds","flg_n_ln_beds","flg_n_review_scores_rating","flg_p_host_response_rate","flg_p_host_acceptance_rate","flg_n_host_since_days","f_reviews","f_host_listings_count","f_host_listings_count_entire_homes","f_minimum_nights","f_host_since_years"
"1",23197,90417,"Etain (Marnie)",41.41291,2.22063,220,5.39362754635236,2,6,4291,3,300,3,4,6,2,2,53,4.75,1,0.83,2,"Entire home / Apartment","Sant Martí",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1.38629436111989,0,0,0,0,0,"2","2","2","2","4"
"2",32711,135703,"Nick",41.40566,2.17015,144,4.969813299576,1.5,3,4208,2,31,2,3,6,3,3,63,4.31,0.99,1,1,"Entire home / Apartment","Gràcia",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.09861228866811,0,0,1,0,0,"2","2","2","2","4"
"3",40983,177617,"Joaquin",41.39631,2.16832,50,3.91202300542815,1,2,4156,2,364,1,1,4,6,3,197,4.35,0.99,1,1,"Entire loft","Eixample",0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"3","2","2","2","4"
"4",41952,183340,"Teresa",41.40568,2.16943,110,4.70048036579242,2,3,4150,3,365,2,4,6,4,4,39,4.42,0.88,0.51,2,"Entire home / Apartment","Gràcia",0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,"1","2","2","2","4"
"5",46153,90417,"Etain (Marnie)",41.38866,2.17839,28,3.3322045101752,1,1,4291,128,340,2,3,2,2,2,3,4,1,0.83,1,"Entire home / Apartment","Ciutat Vella",1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,"1","2","2","4","4"
"6",49968,135703,"Nick",41.4057,2.17016,144,4.969813299576,1,3,4208,2,180,2,6,6,3,3,43,4.4,0.99,1,1,"Entire home / Apartment","Gràcia",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1.79175946922805,0,0,1,0,0,"1","2","2","2","4"
"7",61444,297545,"Anil",41.3897,2.16396,105,4.65396035015752,1,1,4031,2,90,2,4,6,4,4,54,4.29,1,0.98,1,"Entire home / Apartment","Eixample",0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,"2","2","2","2","4"
"8",71553,366654,"Watermen Barcelona Apartments",41.39705,2.17469,96,4.56434819146784,1.5,2,3966,3,1125,1,1,2,3,3,62,4.18,1,0.79,1,"Entire home / Apartment","Eixample",0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"2","2","2","2","4"
"9",72436,375625,"Xavier",41.39909,2.20733,100,4.60517018598809,1,4,3960,1,28,1,1,3,6,6,464,4.77,0.97,0.94,1,"Entire serviced apartment","Sant Martí",0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"3","2","2","1","4"
"10",73455,383697,"Anna",41.38551,2.16665,136,4.91265488573605,1,1,3954,2,1125,2,4,5,10,8,126,4.3,1,0.96,1,"Entire home / Apartment","Ciutat Vella",0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,"3","2","2","2","4"
